# Acquisition time: 21/01/2026 16:32:09
# Timer interval: 1000 ms
# Measurement length: 60 s
# Add comment here
# Time [ms] Channel 1 Channel 2 Channel 3
1000	26045	19874	391
1015	25608	19465	378
1000	25604	19475	381
1016	26261	19867	365
1000	25502	19398	350
1016	25709	19653	370
1000	25716	19655	389
1015	25999	19859	417
1016	25708	19768	395
984	25573	19317	387
1016	25844	19704	383
1000	25476	19603	373
1015	26020	19824	364
1016	25824	19687	378
1000	26049	19815	405
1016	25718	19655	389
1015	25795	19815	366
1000	25679	19821	365
1016	25864	19755	368
1000	25444	19439	362
1000	25579	19578	372
1016	25654	19548	366
1015	26047	19808	385
1016	25835	19575	338
1000	25779	19581	415
1000	25964	19781	398
1000	25669	19538	360
1015	25650	19603	344
1016	26299	19740	380
1016	25848	19477	327
1000	25678	19691	340
1000	25705	19556	390
1015	25892	19662	349
1000	25722	19494	383
1016	25674	19540	378
1000	25263	19279	361
1000	25374	19655	360
1000	25525	19707	352
1016	25772	19884	374
1000	25944	19585	401
1031	26179	19970	380
1000	25713	19434	399
1000	25735	19697	380
1000	25622	19465	413
984	25232	19295	340
1016	25982	19671	382
984	25477	19378	359
1031	25841	19896	400
1016	25928	19816	405
1000	25519	19597	384
1000	25566	19670	416
1000	25409	19275	358
1000	25710	19766	392
1031	26376	19864	382
1000	25798	20032	390
1016	25976	19869	359
1016	26148	19914	395
1015	25465	19377	334
985	25510	19344	357
1015	25517	19537	406
