# Acquisition time: 21/01/2026 16:40:36
# Timer interval: 1000 ms
# Measurement length: 60 s
# Add comment here
# Time [ms] Channel 1 Channel 2 Channel 3
1000	26850	25779	1400
1000	26665	25866	1350
1000	26486	25527	1337
1000	26668	25491	1304
1000	27206	26158	1333
1000	26457	25827	1321
1016	27463	26243	1361
1015	26530	25679	1233
1000	26883	25978	1351
1016	27024	25670	1398
1000	26639	25675	1289
1016	26918	25648	1398
984	26181	25500	1330
1016	27203	25832	1392
1000	27055	25908	1377
1000	26924	25712	1281
1031	27240	26031	1374
1000	26683	25550	1340
1000	26993	25595	1329
1000	26515	25461	1326
1000	26762	26108	1388
984	26638	25320	1312
1016	26873	25728	1318
1031	27550	26082	1321
1000	27136	26020	1383
1000	26927	25970	1352
1000	26703	25210	1362
1000	26863	26030	1331
1016	27031	25853	1317
1000	26436	25717	1332
1000	27040	25654	1314
984	26454	25694	1430
1016	27018	26062	1339
1015	26976	25605	1295
1016	27662	26544	1410
1000	26870	25807	1270
1016	27064	26002	1393
1000	26349	25575	1286
984	26584	25203	1265
1016	26842	25947	1313
1015	27041	26152	1363
1016	26937	25625	1350
1000	26946	25720	1381
1000	26610	25770	1337
1000	26990	25748	1302
1000	26418	25703	1323
1016	26911	25981	1360
1015	27321	26316	1363
1016	26992	26346	1355
1000	26359	25142	1362
1000	26806	25946	1380
1015	26840	26021	1330
1000	26862	25735	1338
1000	26552	25719	1348
1016	26847	25584	1350
1000	26613	25665	1301
1000	26513	25778	1229
1016	27085	26072	1371
1000	26855	25799	1333
1015	26811	25927	1343
