# Acquisition time: 21/01/2026 16:48:37
# Timer interval: 1000 ms
# Measurement length: 60 s
# Add comment here
# Time [ms] Channel 1 Channel 2 Channel 3
1000	24995	24195	344
1015	25390	24624	343
1016	25378	24270	370
1000	24591	23953	399
1000	24760	24311	351
1000	24546	23995	398
1000	24924	24069	430
1000	24945	24008	385
1000	25255	24051	438
1000	24529	24066	349
1000	25517	24460	403
1016	25243	24351	366
1031	25363	24449	375
1000	25010	23780	404
1000	24898	24111	398
1000	25024	23977	405
1000	25167	24463	413
1000	24598	24119	401
1000	25114	24222	385
1000	25239	24390	401
1015	25327	24113	362
1016	25737	24601	407
1016	25036	24030	372
1000	25126	24394	382
1015	25514	24352	396
1000	24959	24386	403
1016	25479	24535	390
1000	25241	24254	376
1000	24968	24210	364
1000	24899	24427	378
1016	25337	24322	404
1000	24972	24135	376
984	24795	23997	366
1016	25173	24541	365
1015	25307	24387	373
1016	25664	24884	406
1015	25211	24174	391
1000	25510	24276	402
1016	25353	24463	385
1016	25025	24476	369
984	24814	23883	399
1000	25184	24178	396
1016	25366	24650	388
1015	25625	24711	387
1000	24657	23890	399
1016	25444	24678	403
1031	25747	24859	390
1016	25652	24288	383
1000	24917	24397	392
1015	25714	24658	343
1016	25483	24243	394
1016	25503	24228	366
984	24543	23774	376
1016	25037	24355	365
1015	25417	24504	397
1016	25107	24791	361
1000	25249	24467	399
1016	25065	24454	389
1000	25092	24196	386
1000	25007	24016	378
