[s],CH1[V]
-2.9894E-04,6.321E-01
-2.9894E-04,6.481E-01
-2.9888E-04,6.321E-01
-2.9888E-04,6.561E-01
-2.9882E-04,6.401E-01
-2.9882E-04,6.561E-01
-2.9876E-04,6.401E-01
-2.9876E-04,6.561E-01
-2.9870E-04,6.401E-01
-2.9870E-04,6.641E-01
-2.9864E-04,6.321E-01
-2.9864E-04,6.641E-01
-2.9858E-04,6.321E-01
-2.9858E-04,6.641E-01
-2.9852E-04,6.481E-01
-2.9852E-04,6.641E-01
-2.9846E-04,6.481E-01
-2.9846E-04,6.641E-01
-2.9840E-04,6.481E-01
-2.9840E-04,6.641E-01
-2.9834E-04,6.481E-01
-2.9834E-04,6.641E-01
-2.9828E-04,6.561E-01
-2.9828E-04,6.641E-01
-2.9822E-04,6.481E-01
-2.9822E-04,6.721E-01
-2.9816E-04,6.561E-01
-2.9816E-04,6.721E-01
-2.9810E-04,6.561E-01
-2.9810E-04,6.721E-01
-2.9804E-04,6.561E-01
-2.9804E-04,6.801E-01
-2.9798E-04,6.561E-01
-2.9798E-04,6.721E-01
-2.9792E-04,6.561E-01
-2.9792E-04,6.801E-01
-2.9786E-04,6.561E-01
-2.9786E-04,6.801E-01
-2.9780E-04,6.641E-01
-2.9780E-04,6.801E-01
-2.9774E-04,6.641E-01
-2.9774E-04,6.801E-01
-2.9768E-04,6.641E-01
-2.9768E-04,6.881E-01
-2.9762E-04,6.641E-01
-2.9762E-04,6.881E-01
-2.9756E-04,6.721E-01
-2.9756E-04,6.881E-01
-2.9750E-04,6.721E-01
-2.9750E-04,6.881E-01
-2.9744E-04,6.721E-01
-2.9744E-04,6.961E-01
-2.9738E-04,6.801E-01
-2.9738E-04,6.961E-01
-2.9732E-04,6.801E-01
-2.9732E-04,6.961E-01
-2.9726E-04,6.801E-01
-2.9726E-04,6.961E-01
-2.9720E-04,6.801E-01
-2.9720E-04,6.961E-01
-2.9714E-04,6.881E-01
-2.9714E-04,7.041E-01
-2.9708E-04,6.801E-01
-2.9708E-04,7.041E-01
-2.9702E-04,6.801E-01
-2.9702E-04,7.041E-01
-2.9696E-04,6.881E-01
-2.9696E-04,7.041E-01
-2.9690E-04,6.881E-01
-2.9690E-04,7.041E-01
-2.9684E-04,6.881E-01
-2.9684E-04,7.121E-01
-2.9678E-04,6.881E-01
-2.9678E-04,7.121E-01
-2.9672E-04,6.961E-01
-2.9672E-04,7.121E-01
-2.9666E-04,6.961E-01
-2.9666E-04,7.121E-01
-2.9660E-04,6.961E-01
-2.9660E-04,7.121E-01
-2.9654E-04,6.961E-01
-2.9654E-04,7.121E-01
-2.9648E-04,6.961E-01
-2.9648E-04,7.121E-01
-2.9642E-04,6.961E-01
-2.9642E-04,7.121E-01
-2.9636E-04,6.961E-01
-2.9636E-04,7.121E-01
-2.9630E-04,7.041E-01
-2.9630E-04,7.121E-01
-2.9624E-04,6.961E-01
-2.9624E-04,7.201E-01
-2.9618E-04,6.961E-01
-2.9618E-04,7.201E-01
-2.9612E-04,6.961E-01
-2.9612E-04,7.201E-01
-2.9606E-04,7.041E-01
-2.9606E-04,7.201E-01
-2.9600E-04,7.041E-01
-2.9600E-04,7.201E-01
-2.9594E-04,7.041E-01
-2.9594E-04,7.281E-01
-2.9588E-04,7.121E-01
-2.9588E-04,7.281E-01
-2.9582E-04,7.121E-01
-2.9582E-04,7.281E-01
-2.9576E-04,7.121E-01
-2.9576E-04,7.281E-01
-2.9570E-04,7.121E-01
-2.9570E-04,7.281E-01
-2.9564E-04,7.121E-01
-2.9564E-04,7.281E-01
-2.9558E-04,7.121E-01
-2.9558E-04,7.281E-01
-2.9552E-04,7.121E-01
-2.9552E-04,7.281E-01
-2.9546E-04,7.121E-01
-2.9546E-04,7.281E-01
-2.9540E-04,7.201E-01
-2.9540E-04,7.361E-01
-2.9534E-04,7.201E-01
-2.9534E-04,7.361E-01
-2.9528E-04,7.201E-01
-2.9528E-04,7.361E-01
-2.9522E-04,7.201E-01
-2.9522E-04,7.361E-01
-2.9516E-04,7.201E-01
-2.9516E-04,7.361E-01
-2.9510E-04,7.201E-01
-2.9510E-04,7.441E-01
-2.9504E-04,7.281E-01
-2.9504E-04,7.441E-01
-2.9498E-04,7.201E-01
-2.9498E-04,7.441E-01
-2.9492E-04,7.281E-01
-2.9492E-04,7.441E-01
-2.9486E-04,7.281E-01
-2.9486E-04,7.521E-01
-2.9480E-04,7.281E-01
-2.9480E-04,7.521E-01
-2.9474E-04,7.361E-01
-2.9474E-04,7.521E-01
-2.9468E-04,7.361E-01
-2.9468E-04,7.521E-01
-2.9462E-04,7.361E-01
-2.9462E-04,7.521E-01
-2.9456E-04,7.361E-01
-2.9456E-04,7.601E-01
-2.9450E-04,7.361E-01
-2.9450E-04,7.601E-01
-2.9444E-04,7.361E-01
-2.9444E-04,7.601E-01
-2.9438E-04,7.361E-01
-2.9438E-04,7.601E-01
-2.9432E-04,7.361E-01
-2.9432E-04,7.601E-01
-2.9426E-04,7.441E-01
-2.9426E-04,7.601E-01
-2.9420E-04,7.441E-01
-2.9420E-04,7.681E-01
-2.9414E-04,7.521E-01
-2.9414E-04,7.681E-01
-2.9408E-04,7.521E-01
-2.9408E-04,7.681E-01
-2.9402E-04,7.521E-01
-2.9402E-04,7.681E-01
-2.9396E-04,7.521E-01
-2.9396E-04,7.681E-01
-2.9390E-04,7.521E-01
-2.9390E-04,7.761E-01
-2.9384E-04,7.601E-01
-2.9384E-04,7.761E-01
-2.9378E-04,7.601E-01
-2.9378E-04,7.761E-01
-2.9372E-04,7.601E-01
-2.9372E-04,7.761E-01
-2.9366E-04,7.601E-01
-2.9366E-04,7.841E-01
-2.9360E-04,7.681E-01
-2.9360E-04,7.761E-01
-2.9354E-04,7.681E-01
-2.9354E-04,7.841E-01
-2.9348E-04,7.681E-01
-2.9348E-04,7.841E-01
-2.9342E-04,7.681E-01
-2.9342E-04,7.841E-01
-2.9336E-04,7.681E-01
-2.9336E-04,7.841E-01
-2.9330E-04,7.681E-01
-2.9330E-04,7.841E-01
-2.9324E-04,7.761E-01
-2.9324E-04,7.921E-01
-2.9318E-04,7.761E-01
-2.9318E-04,7.921E-01
-2.9312E-04,7.681E-01
-2.9312E-04,7.921E-01
-2.9306E-04,7.761E-01
-2.9306E-04,7.921E-01
-2.9300E-04,7.761E-01
-2.9300E-04,7.921E-01
-2.9294E-04,7.761E-01
-2.9294E-04,7.921E-01
-2.9288E-04,7.761E-01
-2.9288E-04,8.001E-01
-2.9282E-04,7.761E-01
-2.9282E-04,8.001E-01
-2.9276E-04,7.761E-01
-2.9276E-04,8.001E-01
-2.9270E-04,7.841E-01
-2.9270E-04,8.001E-01
-2.9264E-04,7.841E-01
-2.9264E-04,8.001E-01
-2.9258E-04,7.841E-01
-2.9258E-04,8.081E-01
-2.9252E-04,7.841E-01
-2.9252E-04,8.081E-01
-2.9246E-04,7.841E-01
-2.9246E-04,8.081E-01
-2.9240E-04,7.841E-01
-2.9240E-04,8.081E-01
-2.9234E-04,7.921E-01
