Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,S
Horizontal Scale,2e-05,,,,Horizontal Scale,0.0002
Sample Interval,0,,,,Sample Interval,1.6e-06
Filter Frequency,2e+08,,,,Filter Frequency,2e+08
Record Length,2000,,,,Record Length,2000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,1,1,1,,Vertical Scale,0.02
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,REF1
-5.00000000000e-04,-5,2.28,2.56,,1.283e-03,0.054
-5.00000000000e-04,-5,2.24,2.52,,1.285e-03,0.054
-5.00000000000e-04,-5,2.24,2.56,,1.286e-03,0.054
-5.00000000000e-04,-4.96,2.24,2.52,,1.288e-03,0.0548
-5.00000000000e-04,-5,2.24,2.56,,1.290e-03,0.0548
-5.00000000000e-04,-5,2.2,2.56,,1.291e-03,0.0548
-5.00000000000e-04,-5,2.2,2.56,,1.293e-03,0.0548
-5.00000000000e-04,-5,2.2,2.56,,1.294e-03,0.054
-5.00000000000e-04,-5,2.16,2.56,,1.296e-03,0.0548
-5.00000000000e-04,-5,2.16,2.56,,1.298e-03,0.0548
-5.00000000000e-04,-5,2.16,2.56,,1.299e-03,0.0548
-5.00000000000e-04,-5,2.16,2.56,,1.301e-03,0.0548
-5.00000000000e-04,-5,2.16,2.56,,1.302e-03,0.054
-5.00000000000e-04,-5,2.16,2.56,,1.304e-03,0.054
-5.00000000000e-04,-4.96,2.12,2.56,,1.306e-03,0.0548
-5.00000000000e-04,-5,2.12,2.56,,1.307e-03,0.0548
-5.00000000000e-04,-5,2.12,2.56,,1.309e-03,0.0548
-5.00000000000e-04,-5,2.12,2.56,,1.310e-03,0.0548
-5.00000000000e-04,-5,2.08,2.56,,1.312e-03,0.054
-5.00000000000e-04,-5,2.12,2.56,,1.314e-03,0.054
-5.00000000000e-04,-5,2.08,2.56,,1.315e-03,0.0548
-5.00000000000e-04,-5,2.04,2.56,,1.317e-03,0.0548
-5.00000000000e-04,-5,2.08,2.56,,1.318e-03,0.054
-5.00000000000e-04,-5,2.04,2.56,,1.320e-03,0.054
-5.00000000000e-04,-5,2.08,2.56,,1.322e-03,0.054
-5.00000000000e-04,-5,2.04,2.56,,1.323e-03,0.054
-5.00000000000e-04,-5,2.04,2.56,,1.325e-03,0.054
-5.00000000000e-04,-5,2.04,2.56,,1.326e-03,0.054
