Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,S
Horizontal Scale,2e-05,,,,Horizontal Scale,0.0002
Sample Interval,0,,,,Sample Interval,1.6e-06
Filter Frequency,2e+08,,,,Filter Frequency,2e+08
Record Length,2000,,,,Record Length,2000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,1,1,1,,Vertical Scale,0.02
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,REF1
-5.00000000000e-04,-4.88,0.52,2.6,,1.706e-03,0.0492
-5.00000000000e-04,-4.84,0.64,2.6,,1.707e-03,0.0492
-5.00000000000e-04,-4.84,0.72,2.56,,1.709e-03,0.0492
-5.00000000000e-04,-4.76,0.8,2.6,,1.710e-03,0.0492
-5.00000000000e-04,-4.72,0.92,2.6,,1.712e-03,0.0492
-5.00000000000e-04,-4.64,1,2.6,,1.714e-03,0.0484
-5.00000000000e-04,-4.52,1.08,2.6,,1.715e-03,0.0492
-5.00000000000e-04,-4.4,1.16,2.6,,1.717e-03,0.0492
-5.00000000000e-04,-4.24,1.24,2.56,,1.718e-03,0.0492
-5.00000000000e-04,-4.16,1.28,2.6,,1.720e-03,0.0492
-5.00000000000e-04,-4.16,1.32,2.6,,1.722e-03,0.0492
-5.00000000000e-04,-4.16,1.32,2.6,,1.723e-03,0.0492
-5.00000000000e-04,-4.24,1.32,2.6,,1.725e-03,0.0492
-5.00000000000e-04,-4.36,1.28,2.64,,1.726e-03,0.0484
-5.00000000000e-04,-4.48,1.24,2.6,,1.728e-03,0.0492
-5.00000000000e-04,-4.6,1.2,2.56,,1.730e-03,0.0492
-5.00000000000e-04,-4.68,1.12,2.56,,1.731e-03,0.0492
-5.00000000000e-04,-4.76,1.08,2.64,,1.733e-03,0.0484
-5.00000000000e-04,-4.8,0.96,2.6,,1.734e-03,0.0484
-5.00000000000e-04,-4.88,0.88,2.6,,1.736e-03,0.0484
-5.00000000000e-04,-4.92,0.8,2.6,,1.738e-03,0.0484
-5.00000000000e-04,-4.92,0.72,2.6,,1.739e-03,0.0484
-5.00000000000e-04,-4.92,0.6,2.64,,1.741e-03,0.0484
-5.00000000000e-04,-4.96,0.52,2.6,,1.742e-03,0.0484
-5.00000000000e-04,-4.96,0.44,2.6,,1.744e-03,0.0476
-5.00000000000e-04,-4.96,0.36,2.56,,1.746e-03,0.0484
-5.00000000000e-04,-4.96,0.28,2.6,,1.747e-03,0.0484
-5.00000000000e-04,-4.96,0.2,2.6,,1.749e-03,0.0484
-5.00000000000e-04,-4.96,0.12,2.6,,1.750e-03,0.0484
-5.00000000000e-04,-4.96,0.04,2.6,,1.752e-03,0.0484
-5.00000000000e-04,-5,0,2.6,,1.754e-03,0.0484
-5.00000000000e-04,-4.96,-0.04,2.64,,1.755e-03,0.0484
-5.00000000000e-04,-5,-0.12,2.6,,1.757e-03,0.0484
-5.00000000000e-04,-4.96,-0.16,2.64,,1.758e-03,0.0484
-5.00000000000e-04,-5,-0.24,2.6,,1.760e-03,0.0484
-5.00000000000e-04,-5,-0.28,2.6,,1.762e-03,0.0476
-5.00000000000e-04,-5,-0.32,2.6,,1.763e-03,0.0484
-5.00000000000e-04,-5,-0.36,2.6,,1.765e-03,0.0484
-5.00000000000e-04,-5,-0.4,2.64,,1.766e-03,0.0484
-5.00000000000e-04,-5,-0.44,2.6,,1.768e-03,0.0484
-5.00000000000e-04,-5,-0.48,2.6,,1.770e-03,0.0484
-5.00000000000e-04,-5,-0.52,2.6,,1.771e-03,0.0484
-5.00000000000e-04,-5,-0.56,2.6,,1.773e-03,0.0484
-5.00000000000e-04,-5,-0.6,2.64,,1.774e-03,0.0476
-5.00000000000e-04,-5,-0.6,2.6,,1.776e-03,0.0476
-5.00000000000e-04,-5,-0.64,2.6,,1.778e-03,0.0484
-5.00000000000e-04,-5,-0.64,2.6,,1.779e-03,0.0484
-5.00000000000e-04,-5,-0.68,2.6,,1.781e-03,0.0476
-5.00000000000e-04,-5,-0.72,2.6,,1.782e-03,0.0476
-5.00000000000e-04,-5,-0.72,2.64,,1.784e-03,0.0484
-5.00000000000e-04,-5,-0.76,2.64,,1.786e-03,0.0484
-5.00000000000e-04,-5,-0.8,2.64,,1.787e-03,0.0476
-5.00000000000e-04,-5,-0.8,2.6,,1.789e-03,0.0476
-5.00000000000e-04,-5,-0.84,2.6,,1.790e-03,0.0484
-5.00000000000e-04,-5,-0.84,2.64,,1.792e-03,0.0484
-5.00000000000e-04,-5,-0.88,2.6,,1.794e-03,0.0476
-5.00000000000e-04,-5,-0.88,2.64,,1.795e-03,0.0476
-5.00000000000e-04,-5,-0.92,2.6,,1.797e-03,0.0476
-5.00000000000e-04,-5,-0.96,2.64,,1.798e-03,0.0484
-5.00000000000e-04,-5,-0.96,2.6,,1.800e-03,0.0476
-5.00000000000e-04,-5,-1,2.64,,1.802e-03,0.0476
-5.00000000000e-04,-5,-1,2.64,,1.803e-03,0.0476
-5.00000000000e-04,-5,-1,2.64,,1.805e-03,0.0476
-5.00000000000e-04,-5,-1,2.64,,1.806e-03,0.0476
-5.00000000000e-04,-5,-1.04,2.64,,1.808e-03,0.0476
-5.00000000000e-04,-5,-1.04,2.6,,1.810e-03,0.0476
-5.00000000000e-04,-5,-1.08,2.64,,1.811e-03,0.0476
-5.00000000000e-04,-5,-1.08,2.6,,1.813e-03,0.0476
-5.00000000000e-04,-5,-1.08,2.64,,1.814e-03,0.0476
-5.00000000000e-04,-5,-1.08,2.6,,1.816e-03,0.0476
-5.00000000000e-04,-5,-1.12,2.64,,1.818e-03,0.0476
-5.00000000000e-04,-5,-1.12,2.64,,1.819e-03,0.0468
-5.00000000000e-04,-5,-1.16,2.64,,1.821e-03,0.0468
-5.00000000000e-04,-5,-1.16,2.6,,1.822e-03,0.0476
-5.00000000000e-04,-5,-1.16,2.6,,1.824e-03,0.0476
-5.00000000000e-04,-5,-1.16,2.6,,1.826e-03,0.0476
-5.00000000000e-04,-5,-1.2,2.64,,1.827e-03,0.0476
-5.00000000000e-04,-5,-1.2,2.64,,1.829e-03,0.0476
-5.00000000000e-04,-5,-1.2,2.64,,1.830e-03,0.0468
-5.00000000000e-04,-5,-1.2,2.64,,1.832e-03,0.0476
-5.00000000000e-04,-5,-1.24,2.64,,1.834e-03,0.0476
-5.00000000000e-04,-5,-1.24,2.6,,1.835e-03,0.0476
-5.00000000000e-04,-5,-1.24,2.6,,1.837e-03,0.0468
-5.00000000000e-04,-4.96,-1.24,2.64,,1.838e-03,0.0476
-5.00000000000e-04,-5,-1.24,2.64,,1.840e-03,0.0468
-5.00000000000e-04,-5,-1.28,2.64,,1.842e-03,0.0468
-5.00000000000e-04,-4.96,-1.28,2.64,,1.843e-03,0.0476
-5.00000000000e-04,-5,-1.28,2.64,,1.845e-03,0.0476
-5.00000000000e-04,-5,-1.28,2.64,,1.846e-03,0.0476
-5.00000000000e-04,-5,-1.28,2.64,,1.848e-03,0.0476
-5.00000000000e-04,-5,-1.32,2.64,,1.850e-03,0.0468
-5.00000000000e-04,-5,-1.32,2.64,,1.851e-03,0.0468
-5.00000000000e-04,-5,-1.32,2.64,,1.853e-03,0.0468
-5.00000000000e-04,-5,-1.32,2.64,,1.854e-03,0.0468
-5.00000000000e-04,-5,-1.32,2.64,,1.856e-03,0.0476
-5.00000000000e-04,-5,-1.36,2.64,,1.858e-03,0.0468
-5.00000000000e-04,-4.96,-1.36,2.64,,1.859e-03,0.0468
-5.00000000000e-04,-4.96,-1.36,2.64,,1.861e-03,0.0468
-5.00000000000e-04,-5,-1.36,2.64,,1.862e-03,0.0468
-5.00000000000e-04,-5,-1.36,2.64,,1.864e-03,0.0468
-5.00000000000e-04,-5,-1.36,2.64,,1.866e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.867e-03,0.0468
-5.00000000000e-04,-5,-1.36,2.64,,1.869e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.870e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.872e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.874e-03,0.0468
-5.00000000000e-04,-4.96,-1.4,2.64,,1.875e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.877e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.878e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.880e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.882e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.883e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.885e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.886e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.888e-03,0.0468
-5.00000000000e-04,-5,-1.4,2.64,,1.890e-03,0.0468
-5.00000000000e-04,-5,-1.44,2.64,,1.891e-03,0.0468
-5.00000000000e-04,-5,-1.44,2.64,,1.893e-03,0.046
-5.00000000000e-04,-5,-1.44,2.64,,1.894e-03,0.046
-5.00000000000e-04,-5,-1.44,2.64,,1.896e-03,0.0468
-5.00000000000e-04,-5,-1.44,2.64,,1.898e-03,0.046
-5.00000000000e-04,-5,-1.44,2.64,,1.899e-03,0.046
-5.00000000000e-04,-5,-1.44,2.64,,1.901e-03,0.046
-5.00000000000e-04,-5,-1.44,2.64,,1.902e-03,0.046
-5.00000000000e-04,-5,-1.44,2.64,,1.904e-03,0.046
-5.00000000000e-04,-5,-1.4,2.64,,1.906e-03,0.046
-5.00000000000e-04,-5,-1.4,2.64,,1.907e-03,0.046
-5.00000000000e-04,-5,-1.4,2.64,,1.909e-03,0.046
-5.00000000000e-04,-5,-1.4,2.64,,1.910e-03,0.046
-5.00000000000e-04,-5,-1.4,2.64,,1.912e-03,0.046
-5.00000000000e-04,-5,-1.4,2.64,,1.914e-03,0.046
-5.00000000000e-04,-5,-1.36,2.64,,1.915e-03,0.046
-5.00000000000e-04,-5,-1.36,2.6,,1.917e-03,0.046
-5.00000000000e-04,-5,-1.36,2.64,,1.918e-03,0.046
-5.00000000000e-04,-5,-1.32,2.64,,1.920e-03,0.046
-5.00000000000e-04,-5,-1.32,2.64,,1.922e-03,0.0452
-5.00000000000e-04,-5,-1.28,2.64,,1.923e-03,0.046
-5.00000000000e-04,-5,-1.24,2.64,,1.925e-03,0.0452
-5.00000000000e-04,-5,-1.2,2.64,,1.926e-03,0.046
-5.00000000000e-04,-5,-1.16,2.64,,1.928e-03,0.046
-5.00000000000e-04,-5,-1.12,2.6,,1.930e-03,0.046
-5.00000000000e-04,-5,-1.12,2.64,,1.931e-03,0.046
-5.00000000000e-04,-5,-1.12,2.64,,1.933e-03,0.0452
-5.00000000000e-04,-5,-1.08,2.64,,1.934e-03,0.0452
-5.00000000000e-04,-5,-1.08,2.64,,1.936e-03,0.046
-5.00000000000e-04,-5,-1.08,2.6,,1.938e-03,0.046
-5.00000000000e-04,-5,-1.12,2.64,,1.939e-03,0.0452
-5.00000000000e-04,-5,-1.12,2.6,,1.941e-03,0.0452
-5.00000000000e-04,-5,-1.12,2.64,,1.942e-03,0.0452
-5.00000000000e-04,-5,-1.16,2.64,,1.944e-03,0.0452
-5.00000000000e-04,-5,-1.2,2.64,,1.946e-03,0.046
-5.00000000000e-04,-5,-1.2,2.64,,1.947e-03,0.0452
-5.00000000000e-04,-5,-1.24,2.64,,1.949e-03,0.0452
-5.00000000000e-04,-5,-1.24,2.6,,1.950e-03,0.0452
-5.00000000000e-04,-5,-1.28,2.64,,1.952e-03,0.0452
-5.00000000000e-04,-5,-1.28,2.64,,1.954e-03,0.0452
-5.00000000000e-04,-5,-1.32,2.64,,1.955e-03,0.046
-5.00000000000e-04,-5,-1.32,2.64,,1.957e-03,0.0452
-5.00000000000e-04,-5,-1.32,2.64,,1.958e-03,0.0452
-5.00000000000e-04,-5,-1.32,2.6,,1.960e-03,0.0452
-5.00000000000e-04,-5,-1.4,2.64,,1.962e-03,0.046
-5.00000000000e-04,-5,-1.36,2.64,,1.963e-03,0.0452
-5.00000000000e-04,-5,-1.4,2.64,,1.965e-03,0.0452
-5.00000000000e-04,-5,-1.4,2.64,,1.966e-03,0.0452
-5.00000000000e-04,-5,-1.4,2.64,,1.968e-03,0.0452
-5.00000000000e-04,-5,-1.4,2.64,,1.970e-03,0.0452
-5.00000000000e-04,-5,-1.4,2.64,,1.971e-03,0.0452
-5.00000000000e-04,-4.96,-1.4,2.64,,1.973e-03,0.0452
-5.00000000000e-04,-5,-1.4,2.6,,1.974e-03,0.0444
-5.00000000000e-04,-5,-1.4,2.6,,1.976e-03,0.0452
-5.00000000000e-04,-5,-1.4,2.64,,1.978e-03,0.0444
-5.00000000000e-04,-5,-1.4,2.64,,1.979e-03,0.0444
-5.00000000000e-04,-5,-1.4,2.64,,1.981e-03,0.0452
-5.00000000000e-04,-4.96,-1.4,2.64,,1.982e-03,0.0452
-5.00000000000e-04,-5,-1.4,2.64,,1.984e-03,0.0444
-5.00000000000e-04,-5,-1.4,2.64,,1.986e-03,0.0444
-5.00000000000e-04,-4.96,-1.36,2.64,,1.987e-03,0.0444
-5.00000000000e-04,-5,-1.36,2.64,,1.989e-03,0.0444
-5.00000000000e-04,-5,-1.36,2.64,,1.990e-03,0.0444
-5.00000000000e-04,-5,-1.36,2.64,,1.992e-03,0.0444
-5.00000000000e-04,-5,-1.36,2.6,,1.994e-03,0.0444
-5.00000000000e-04,-4.96,-1.36,2.64,,1.995e-03,0.0444
-5.00000000000e-04,-5,-1.36,2.64,,1.997e-03,0.0444
-5.00000000000e-04,-5,-1.36,2.64,,1.998e-03,0.0444
-5.00000000000e-04,-5,-1.36,2.64,,2.000e-03,0.0444
-5.00000000000e-04,-5,-1.36,2.64,,2.002e-03,0.0444
-5.00000000000e-04,-5,-1.4,2.64,,2.003e-03,0.0436
-5.00000000000e-04,-5,-1.36,2.64,,2.005e-03,0.0444
-5.00000000000e-04,-5,-1.36,2.64,,2.006e-03,0.0444
-5.00000000000e-04,-5,-1.32,2.64,,2.008e-03,0.0444
-5.00000000000e-04,-5,-1.32,2.64,,2.010e-03,0.0436
-5.00000000000e-04,-5,-1.32,2.64,,2.011e-03,0.0444
-5.00000000000e-04,-5,-1.32,2.64,,2.013e-03,0.0444
-5.00000000000e-04,-5,-1.32,2.64,,2.014e-03,0.0436
-5.00000000000e-04,-5,-1.32,2.64,,2.016e-03,0.0436
-5.00000000000e-04,-5,-1.28,2.64,,2.018e-03,0.0444
-5.00000000000e-04,-5,-1.28,2.64,,2.019e-03,0.0436
-5.00000000000e-04,-5,-1.28,2.64,,2.021e-03,0.0436
-5.00000000000e-04,-5,-1.28,2.68,,2.022e-03,0.0444
-5.00000000000e-04,-5,-1.32,2.64,,2.024e-03,0.0436
-5.00000000000e-04,-5,-1.28,2.68,,2.026e-03,0.0436
-5.00000000000e-04,-5,-1.24,2.64,,2.027e-03,0.0436
-5.00000000000e-04,-5,-1.24,2.64,,2.029e-03,0.0428
-5.00000000000e-04,-5,-1.24,2.64,,2.030e-03,0.0436
-5.00000000000e-04,-5,-1.24,2.64,,2.032e-03,0.0428
-5.00000000000e-04,-5,-1.24,2.64,,2.034e-03,0.0436
-5.00000000000e-04,-5,-1.24,2.64,,2.035e-03,0.0436
-5.00000000000e-04,-5,-1.24,2.64,,2.037e-03,0.0436
-5.00000000000e-04,-4.96,-1.2,2.64,,2.038e-03,0.0436
-5.00000000000e-04,-5,-1.2,2.64,,2.040e-03,0.0436
-5.00000000000e-04,-5,-1.2,2.64,,2.042e-03,0.0436
-5.00000000000e-04,-5,-1.2,2.68,,2.043e-03,0.0428
-5.00000000000e-04,-5,-1.2,2.68,,2.045e-03,0.0436
-5.00000000000e-04,-5,-1.2,2.64,,2.046e-03,0.0428
-5.00000000000e-04,-5,-1.16,2.64,,2.048e-03,0.0428
-5.00000000000e-04,-5,-1.16,2.68,,2.050e-03,0.0436
-5.00000000000e-04,-5,-1.16,2.64,,2.051e-03,0.0428
-5.00000000000e-04,-5,-1.16,2.64,,2.053e-03,0.0428
-5.00000000000e-04,-5,-1.16,2.64,,2.054e-03,0.0428
-5.00000000000e-04,-5,-1.16,2.64,,2.056e-03,0.0428
-5.00000000000e-04,-5,-1.12,2.64,,2.058e-03,0.042
-5.00000000000e-04,-5,-1.12,2.64,,2.059e-03,0.0428
-5.00000000000e-04,-5,-1.12,2.64,,2.061e-03,0.0428
-5.00000000000e-04,-4.96,-1.12,2.64,,2.062e-03,0.0428
-5.00000000000e-04,-5,-1.08,2.68,,2.064e-03,0.042
-5.00000000000e-04,-5,-1.08,2.68,,2.066e-03,0.0428
-5.00000000000e-04,-5,-1.12,2.64,,2.067e-03,0.042
-5.00000000000e-04,-5,-1.08,2.64,,2.069e-03,0.042
-5.00000000000e-04,-5,-1.08,2.64,,2.070e-03,0.042
-5.00000000000e-04,-5,-1.04,2.68,,2.072e-03,0.042
-5.00000000000e-04,-5,-1.04,2.64,,2.074e-03,0.042
-5.00000000000e-04,-5,-1.04,2.64,,2.075e-03,0.042
-5.00000000000e-04,-5,-1.04,2.64,,2.077e-03,0.042
-5.00000000000e-04,-4.96,-1,2.68,,2.078e-03,0.042
-5.00000000000e-04,-5,-1,2.68,,2.080e-03,0.042
-5.00000000000e-04,-5,-1,2.68,,2.082e-03,0.042
-5.00000000000e-04,-5,-1,2.68,,2.083e-03,0.0412
-5.00000000000e-04,-5,-1,2.68,,2.085e-03,0.042
-5.00000000000e-04,-5,-0.96,2.64,,2.086e-03,0.0412
-5.00000000000e-04,-5,-0.96,2.68,,2.088e-03,0.0412
-5.00000000000e-04,-5,-0.96,2.64,,2.090e-03,0.0412
-5.00000000000e-04,-5,-0.96,2.68,,2.091e-03,0.0412
-5.00000000000e-04,-5,-0.96,2.68,,2.093e-03,0.0412
-5.00000000000e-04,-4.96,-0.92,2.64,,2.094e-03,0.0412
-5.00000000000e-04,-5,-0.92,2.64,,2.096e-03,0.0412
-5.00000000000e-04,-5,-0.88,2.64,,2.098e-03,0.0412
-5.00000000000e-04,-5,-0.88,2.68,,2.099e-03,0.0412
-5.00000000000e-04,-5,-0.84,2.64,,2.101e-03,0.0412
-5.00000000000e-04,-5,-0.84,2.64,,2.102e-03,0.0404
-5.00000000000e-04,-5,-0.84,2.68,,2.104e-03,0.0404
-5.00000000000e-04,-4.96,-0.84,2.68,,2.106e-03,0.0404
-5.00000000000e-04,-5,-0.84,2.64,,2.107e-03,0.0404
-5.00000000000e-04,-5,-0.8,2.68,,2.109e-03,0.0412
-5.00000000000e-04,-5,-0.8,2.64,,2.110e-03,0.0404
-5.00000000000e-04,-5,-0.8,2.64,,2.112e-03,0.0396
-5.00000000000e-04,-4.96,-0.76,2.68,,2.114e-03,0.0404
-5.00000000000e-04,-5,-0.76,2.68,,2.115e-03,0.0404
-5.00000000000e-04,-5,-0.76,2.68,,2.117e-03,0.0396
-5.00000000000e-04,-5,-0.76,2.64,,2.118e-03,0.0396
-5.00000000000e-04,-5,-0.72,2.68,,2.120e-03,0.0396
-5.00000000000e-04,-5,-0.72,2.68,,2.122e-03,0.0396
-5.00000000000e-04,-4.96,-0.72,2.68,,2.123e-03,0.0396
-5.00000000000e-04,-5,-0.68,2.68,,2.125e-03,0.0396
-5.00000000000e-04,-4.96,-0.68,2.68,,2.126e-03,0.0396
-5.00000000000e-04,-4.96,-0.68,2.68,,2.128e-03,0.0396
-5.00000000000e-04,-4.96,-0.64,2.64,,2.130e-03,0.0388
-5.00000000000e-04,-4.96,-0.64,2.68,,2.131e-03,0.0396
-5.00000000000e-04,-4.96,-0.64,2.64,,2.133e-03,0.0388
-5.00000000000e-04,-4.96,-0.64,2.68,,2.134e-03,0.0388
-5.00000000000e-04,-4.96,-0.6,2.68,,2.136e-03,0.0388
-5.00000000000e-04,-5,-0.6,2.68,,2.138e-03,0.0388
-5.00000000000e-04,-5,-0.6,2.68,,2.139e-03,0.038
-5.00000000000e-04,-4.96,-0.56,2.68,,2.141e-03,0.0388
-5.00000000000e-04,-5,-0.56,2.68,,2.142e-03,0.038
-5.00000000000e-04,-4.96,-0.56,2.68,,2.144e-03,0.038
-5.00000000000e-04,-5,-0.56,2.68,,2.146e-03,0.038
-5.00000000000e-04,-5,-0.56,2.68,,2.147e-03,0.038
-5.00000000000e-04,-5,-0.52,2.68,,2.149e-03,0.038
-5.00000000000e-04,-5,-0.52,2.68,,2.150e-03,0.0372
-5.00000000000e-04,-5,-0.48,2.68,,2.152e-03,0.0372
-5.00000000000e-04,-4.96,-0.48,2.68,,2.154e-03,0.0372
-5.00000000000e-04,-4.96,-0.48,2.68,,2.155e-03,0.0372
-5.00000000000e-04,-4.96,-0.44,2.68,,2.157e-03,0.0372
-5.00000000000e-04,-4.96,-0.44,2.68,,2.158e-03,0.0372
-5.00000000000e-04,-4.96,-0.44,2.68,,2.160e-03,0.0364
-5.00000000000e-04,-4.96,-0.44,2.68,,2.162e-03,0.0364
-5.00000000000e-04,-5,-0.4,2.68,,2.163e-03,0.0364
-5.00000000000e-04,-4.96,-0.4,2.68,,2.165e-03,0.0356
-5.00000000000e-04,-5,-0.36,2.68,,2.166e-03,0.0364
-5.00000000000e-04,-5,-0.4,2.68,,2.168e-03,0.0364
-5.00000000000e-04,-4.96,-0.4,2.68,,2.170e-03,0.0356
-5.00000000000e-04,-5,-0.36,2.68,,2.171e-03,0.0356
-5.00000000000e-04,-4.96,-0.32,2.68,,2.173e-03,0.0356
-5.00000000000e-04,-5,-0.32,2.68,,2.174e-03,0.0348
-5.00000000000e-04,-5,-0.32,2.68,,2.176e-03,0.0348
-5.00000000000e-04,-4.96,-0.28,2.68,,2.178e-03,0.0348
-5.00000000000e-04,-4.96,-0.28,2.68,,2.179e-03,0.0348
-5.00000000000e-04,-4.96,-0.28,2.68,,2.181e-03,0.0348
-5.00000000000e-04,-4.96,-0.28,2.68,,2.182e-03,0.0348
-5.00000000000e-04,-4.96,-0.24,2.68,,2.184e-03,0.034
-5.00000000000e-04,-4.96,-0.24,2.68,,2.186e-03,0.034
-5.00000000000e-04,-4.96,-0.24,2.68,,2.187e-03,0.034
-5.00000000000e-04,-5,-0.24,2.68,,2.189e-03,0.034
-5.00000000000e-04,-5,-0.2,2.68,,2.190e-03,0.0332
-5.00000000000e-04,-4.96,-0.2,2.68,,2.192e-03,0.0332
-5.00000000000e-04,-4.96,-0.2,2.68,,2.194e-03,0.0332
-5.00000000000e-04,-4.96,-0.16,2.68,,2.195e-03,0.0332
-5.00000000000e-04,-4.96,-0.16,2.68,,2.197e-03,0.0324
-5.00000000000e-04,-4.96,-0.12,2.64,,2.198e-03,0.0324
-5.00000000000e-04,-4.96,-0.12,2.68,,2.200e-03,0.0324
-5.00000000000e-04,-5,-0.12,2.68,,2.202e-03,0.0316
-5.00000000000e-04,-5,-0.08,2.68,,2.203e-03,0.0316
-5.00000000000e-04,-4.96,-0.08,2.68,,2.205e-03,0.0316
-5.00000000000e-04,-5,-0.08,2.68,,2.206e-03,0.0316
-5.00000000000e-04,-4.96,-0.08,2.68,,2.208e-03,0.0316
-5.00000000000e-04,-4.96,-0.04,2.68,,2.210e-03,0.0308
-5.00000000000e-04,-4.96,-0.04,2.68,,2.211e-03,0.0308
-5.00000000000e-04,-4.96,0,2.68,,2.213e-03,0.0308
-5.00000000000e-04,-4.96,0,2.68,,2.214e-03,0.03
-5.00000000000e-04,-4.96,0,2.68,,2.216e-03,0.03
-5.00000000000e-04,-4.96,0,2.68,,2.218e-03,0.03
-5.00000000000e-04,-5,0.04,2.68,,2.219e-03,0.03
-5.00000000000e-04,-5,0.04,2.68,,2.221e-03,0.0292
-5.00000000000e-04,-5,0.04,2.68,,2.222e-03,0.0292
-5.00000000000e-04,-4.96,0.08,2.68,,2.224e-03,0.0284
-5.00000000000e-04,-5,0.08,2.68,,2.226e-03,0.0284
-5.00000000000e-04,-4.96,0.12,2.68,,2.227e-03,0.0284
-5.00000000000e-04,-4.96,0.12,2.68,,2.229e-03,0.0284
-5.00000000000e-04,-5,0.12,2.68,,2.230e-03,0.0284
-5.00000000000e-04,-4.96,0.16,2.68,,2.232e-03,0.0276
-5.00000000000e-04,-4.96,0.16,2.68,,2.234e-03,0.0268
-5.00000000000e-04,-4.96,0.16,2.68,,2.235e-03,0.0276
-5.00000000000e-04,-4.96,0.2,2.68,,2.237e-03,0.0268
-5.00000000000e-04,-4.96,0.2,2.68,,2.238e-03,0.0268
-5.00000000000e-04,-4.96,0.2,2.68,,2.240e-03,0.026
-5.00000000000e-04,-5,0.2,2.68,,2.242e-03,0.026
-5.00000000000e-04,-4.96,0.24,2.68,,2.243e-03,0.0252
-5.00000000000e-04,-4.96,0.28,2.68,,2.245e-03,0.0252
-5.00000000000e-04,-4.96,0.28,2.64,,2.246e-03,0.0252
-5.00000000000e-04,-4.96,0.28,2.68,,2.248e-03,0.0252
-5.00000000000e-04,-4.96,0.32,2.68,,2.250e-03,0.0244
-5.00000000000e-04,-4.96,0.32,2.68,,2.251e-03,0.0244
-5.00000000000e-04,-4.96,0.36,2.68,,2.253e-03,0.0236
-5.00000000000e-04,-4.96,0.36,2.68,,2.254e-03,0.0236
-5.00000000000e-04,-4.96,0.36,2.68,,2.256e-03,0.0236
-5.00000000000e-04,-4.96,0.36,2.68,,2.258e-03,0.0228
-5.00000000000e-04,-4.96,0.4,2.68,,2.259e-03,0.022
-5.00000000000e-04,-4.96,0.4,2.68,,2.261e-03,0.022
-5.00000000000e-04,-5,0.44,2.68,,2.262e-03,0.022
-5.00000000000e-04,-4.96,0.44,2.64,,2.264e-03,0.0212
-5.00000000000e-04,-4.96,0.44,2.68,,2.266e-03,0.0212
-5.00000000000e-04,-5,0.48,2.68,,2.267e-03,0.0204
-5.00000000000e-04,-4.96,0.48,2.68,,2.269e-03,0.0204
-5.00000000000e-04,-4.96,0.52,2.68,,2.270e-03,0.0204
-5.00000000000e-04,-4.96,0.52,2.68,,2.272e-03,0.0196
-5.00000000000e-04,-4.96,0.52,2.68,,2.274e-03,0.0188
-5.00000000000e-04,-4.92,0.52,2.68,,2.275e-03,0.0188
-5.00000000000e-04,-4.96,0.52,2.68,,2.277e-03,0.018
-5.00000000000e-04,-4.96,0.56,2.68,,2.278e-03,0.018
-5.00000000000e-04,-4.96,0.6,2.68,,2.280e-03,0.018
-5.00000000000e-04,-4.96,0.6,2.68,,2.282e-03,0.0172
-5.00000000000e-04,-4.92,0.6,2.68,,2.283e-03,0.0172
-5.00000000000e-04,-4.96,0.64,2.68,,2.285e-03,0.0164
-5.00000000000e-04,-4.92,0.64,2.68,,2.286e-03,0.0164
-5.00000000000e-04,-4.92,0.68,2.68,,2.288e-03,0.0156
-5.00000000000e-04,-4.92,0.64,2.68,,2.290e-03,0.0156
-5.00000000000e-04,-4.92,0.68,2.72,,2.291e-03,0.0148
-5.00000000000e-04,-4.92,0.68,2.68,,2.293e-03,0.014
-5.00000000000e-04,-4.92,0.72,2.68,,2.294e-03,0.014
-5.00000000000e-04,-4.92,0.72,2.68,,2.296e-03,0.014
-5.00000000000e-04,-4.88,0.72,2.64,,2.298e-03,0.0132
-5.00000000000e-04,-4.84,0.76,2.68,,2.299e-03,0.0132
-5.00000000000e-04,-4.84,0.76,2.68,,2.301e-03,0.0124
-5.00000000000e-04,-4.8,0.8,2.68,,2.302e-03,0.0124
-5.00000000000e-04,-4.8,0.8,2.68,,2.304e-03,0.0124
-5.00000000000e-04,-4.76,0.8,2.68,,2.306e-03,0.0116
