[Hz],FFT[dBm]
0.0000000E+00,-3.65454E+01
1.5258789E+03,-3.93054E+01
3.0517578E+03,-5.77254E+01
4.5776367E+03,-6.21254E+01
6.1035156E+03,-5.41854E+01
7.6293945E+03,-5.01854E+01
9.1552734E+03,-5.48454E+01
1.0681152E+04,-6.58454E+01
1.2207031E+04,-5.85654E+01
1.3732910E+04,-5.44854E+01
1.5258789E+04,-5.61654E+01
1.6784668E+04,-5.46254E+01
1.8310547E+04,-5.60454E+01
1.9836426E+04,-5.89054E+01
2.1362305E+04,-6.86854E+01
2.2888184E+04,-5.79854E+01
2.4414062E+04,-6.25054E+01
2.5939941E+04,-7.00854E+01
2.7465820E+04,-6.13054E+01
2.8991699E+04,-6.77054E+01
3.0517578E+04,-6.33854E+01
3.2043457E+04,-5.80454E+01
3.3569336E+04,-5.61654E+01
3.5095215E+04,-5.97054E+01
3.6621094E+04,-6.34054E+01
3.8146973E+04,-5.72454E+01
3.9672852E+04,-5.27454E+01
4.1198730E+04,-5.56654E+01
4.2724609E+04,-5.94454E+01
4.4250488E+04,-5.44454E+01
4.5776367E+04,-5.76654E+01
4.7302246E+04,-5.60654E+01
4.8828125E+04,-5.91054E+01
5.0354004E+04,-6.96254E+01
5.1879883E+04,-5.66054E+01
5.3405762E+04,-5.54254E+01
5.4931641E+04,-5.94054E+01
5.6457520E+04,-5.84654E+01
5.7983398E+04,-5.51254E+01
5.9509277E+04,-5.44254E+01
6.1035156E+04,-5.90254E+01
6.2561035E+04,-5.47854E+01
6.4086914E+04,-5.38454E+01
6.5612793E+04,-6.50854E+01
6.7138672E+04,-6.07854E+01
6.8664551E+04,-5.77254E+01
7.0190430E+04,-5.49454E+01
7.1716309E+04,-5.34054E+01
7.3242188E+04,-5.55254E+01
7.4768066E+04,-5.97454E+01
7.6293945E+04,-5.97454E+01
7.7819824E+04,-5.32654E+01
7.9345703E+04,-6.51654E+01
8.0871582E+04,-5.76854E+01
8.2397461E+04,-5.71854E+01
8.3923340E+04,-5.92654E+01
8.5449219E+04,-5.87854E+01
8.6975098E+04,-7.42054E+01
8.8500977E+04,-5.92654E+01
9.0026855E+04,-6.12254E+01
9.1552734E+04,-5.85454E+01
9.3078613E+04,-6.14854E+01
9.4604492E+04,-5.71054E+01
9.6130371E+04,-6.85254E+01
9.7656250E+04,-5.65654E+01
9.9182129E+04,-5.89054E+01
1.0070801E+05,-7.37454E+01
1.0223389E+05,-6.14654E+01
1.0375977E+05,-6.27454E+01
1.0528564E+05,-5.67054E+01
1.0681152E+05,-5.29654E+01
1.0833740E+05,-5.81254E+01
1.0986328E+05,-5.12654E+01
1.1138916E+05,-5.71454E+01
1.1291504E+05,-5.48854E+01
1.1444092E+05,-5.76254E+01
1.1596680E+05,-5.56654E+01
1.1749268E+05,-5.56454E+01
1.1901855E+05,-5.40454E+01
1.2054443E+05,-6.22254E+01
1.2207031E+05,-7.15054E+01
1.2359619E+05,-6.61854E+01
1.2512207E+05,-6.04054E+01
1.2664795E+05,-5.99654E+01
1.2817383E+05,-5.36454E+01
1.2969971E+05,-4.93454E+01
1.3122559E+05,-5.33854E+01
1.3275146E+05,-5.61654E+01
1.3427734E+05,-5.29854E+01
1.3580322E+05,-5.34454E+01
1.3732910E+05,-5.59254E+01
1.3885498E+05,-5.49454E+01
1.4038086E+05,-5.66254E+01
1.4190674E+05,-5.92654E+01
1.4343262E+05,-6.61254E+01
1.4495850E+05,-5.84254E+01
1.4648438E+05,-6.18454E+01
1.4801025E+05,-6.60054E+01
1.4953613E+05,-6.40854E+01
1.5106201E+05,-6.00454E+01
1.5258789E+05,-6.82054E+01
1.5411377E+05,-5.67854E+01
1.5563965E+05,-5.61454E+01
1.5716553E+05,-6.60454E+01
1.5869141E+05,-5.78654E+01
1.6021729E+05,-6.08854E+01
1.6174316E+05,-6.38054E+01
1.6326904E+05,-5.94454E+01
1.6479492E+05,-5.84854E+01
1.6632080E+05,-5.43654E+01
1.6784668E+05,-5.39854E+01
1.6937256E+05,-5.77854E+01
1.7089844E+05,-5.54654E+01
1.7242432E+05,-5.29054E+01
1.7395020E+05,-5.70254E+01
1.7547607E+05,-6.32054E+01
1.7700195E+05,-5.66854E+01
1.7852783E+05,-5.94854E+01
1.8005371E+05,-5.89654E+01
1.8157959E+05,-5.52254E+01
1.8310547E+05,-5.52454E+01
1.8463135E+05,-5.62654E+01
1.8615723E+05,-5.29654E+01
1.8768311E+05,-4.88054E+01
1.8920898E+05,-5.15054E+01
1.9073486E+05,-5.69854E+01
1.9226074E+05,-5.58054E+01
1.9378662E+05,-5.35854E+01
1.9531250E+05,-5.80054E+01
1.9683838E+05,-6.68654E+01
1.9836426E+05,-6.35654E+01
1.9989014E+05,-5.94854E+01
2.0141602E+05,-6.26054E+01
2.0294189E+05,-5.52654E+01
2.0446777E+05,-5.12054E+01
2.0599365E+05,-4.95054E+01
2.0751953E+05,-5.29054E+01
2.0904541E+05,-5.77454E+01
2.1057129E+05,-6.55454E+01
2.1209717E+05,-6.28454E+01
2.1362305E+05,-6.60254E+01
2.1514893E+05,-6.01854E+01
2.1667480E+05,-6.22054E+01
2.1820068E+05,-6.47854E+01
